Minute,Team,Margin
14,MEM,-0.646341463
15,MEM,-0.353658537
16,MEM,-0.524390244
17,MEM,-1
18,MEM,-0.646341463
19,MEM,-0.731707317
20,MEM,-1.085365854
21,MEM,-0.512195122
22,MEM,-0.682926829
23,MEM,-0.56097561
24,MEM,-0.926829268
25,MEM,-0.463414634
26,MEM,-0.902439024
27,MEM,-1.012195122
28,MEM,-1.341463415
29,MEM,-1.170731707
30,MEM,-1.243902439
31,MEM,-1.743902439
32,MEM,-1.768292683
33,MEM,-1.5
34,MEM,-1.5
35,MEM,-2.317073171
36,MEM,-2.158536585
37,MEM,-1.865853659
38,MEM,-1.756097561
39,MEM,-2.048780488
40,MEM,-1.963414634
41,MEM,-2.329268293
42,MEM,-2.12195122
43,MEM,-2.402439024
44,MEM,-2.109756098
45,MEM,-1.951219512
46,MEM,-2.024390244
47,MEM,-2.353658537
48,MEM,-2.329268293
49,MEM,-2.243902439
0,SAC,-0.707317073
1,SAC,-0.707317073
2,SAC,-0.085365854
3,SAC,0.073170732
4,SAC,-0.37804878
5,SAC,-0.256097561
6,SAC,-0.853658537
7,SAC,-0.865853659
8,SAC,-0.829268293
9,SAC,-0.329268293
10,SAC,-0.414634146
11,SAC,-0.695121951
12,SAC,-0.756097561
13,SAC,-0.609756098
14,SAC,-0.951219512
15,SAC,-1.146341463
16,SAC,-1.292682927
17,SAC,-1.463414634
18,SAC,-1.304878049
19,SAC,-1.219512195
20,SAC,-1.341463415
21,SAC,-1.707317073
22,SAC,-1.597560976
23,SAC,-1.402439024
24,SAC,-1.353658537
25,SAC,-1.390243902
26,SAC,-1.463414634
27,SAC,-1.743902439
28,SAC,-1.914634146
29,SAC,-2.06097561
30,SAC,-1.87804878
31,SAC,-2.463414634
32,SAC,-2.280487805
33,SAC,-2.109756098
34,SAC,-2.048780488
35,SAC,-2.414634146
36,SAC,-2.304878049
37,SAC,-2.243902439
38,SAC,-2.682926829
39,SAC,-2.975609756
40,SAC,-2.719512195
41,SAC,-2.548780488
42,SAC,-2.56097561
43,SAC,-2.463414634
44,SAC,-2.865853659
45,SAC,-3.048780488
46,SAC,-2.475609756
47,SAC,-2.475609756
48,SAC,-2.37804878
49,SAC,-2.475609756
0,LAC,0.62195122
1,LAC,0.62195122
2,LAC,0.304878049
3,LAC,0.682926829
4,LAC,1.646341463
5,LAC,2.012195122
6,LAC,2.219512195
7,LAC,1.817073171
8,LAC,2.182926829
9,LAC,2.353658537
10,LAC,2.56097561
11,LAC,2.134146341
12,LAC,1.804878049
13,LAC,1.634146341
14,LAC,1.365853659
15,LAC,0.804878049
16,LAC,0.670731707
17,LAC,0.37804878
18,LAC,1.024390244
19,LAC,1.402439024
20,LAC,1.37804878
21,LAC,1.682926829
22,LAC,1.682926829
23,LAC,1.792682927
24,LAC,2.170731707
25,LAC,2.170731707
26,LAC,1.829268293
27,LAC,2.012195122
28,LAC,1.987804878
29,LAC,1.975609756
30,LAC,2.56097561
31,LAC,2.890243902
32,LAC,3.219512195
33,LAC,3.268292683
34,LAC,3.43902439
35,LAC,3.682926829
36,LAC,4.146341463
37,LAC,4.524390244
38,LAC,4.365853659
39,LAC,4.073170732
40,LAC,4.268292683
41,LAC,4.487804878
42,LAC,3.951219512
43,LAC,3.914634146
44,LAC,4.146341463
45,LAC,3.914634146
46,LAC,3.926829268
47,LAC,3.890243902
48,LAC,4
49,LAC,4.280487805
0,MIL,-0.426829268
1,MIL,-0.426829268
2,MIL,-0.182926829
3,MIL,0.024390244
4,MIL,0.182926829
5,MIL,0.036585366
6,MIL,-0.097560976
7,MIL,-0.353658537
8,MIL,-0.573170732
9,MIL,-0.792682927
10,MIL,-1.048780488
11,MIL,-1.073170732
12,MIL,-1.048780488
13,MIL,-1.231707317
14,MIL,-1.097560976
15,MIL,-1.243902439
16,MIL,-1.890243902
17,MIL,-1.695121951
18,MIL,-1.841463415
19,MIL,-2.219512195
20,MIL,-2.365853659
21,MIL,-2.634146341
22,MIL,-3
23,MIL,-2.743902439
24,MIL,-2.890243902
25,MIL,-2.548780488
26,MIL,-2.987804878
27,MIL,-3.219512195
28,MIL,-3
29,MIL,-2.804878049
30,MIL,-2.158536585
31,MIL,-2.365853659
32,MIL,-2.512195122
33,MIL,-2.451219512
34,MIL,-2.890243902
35,MIL,-2.463414634
36,MIL,-2.37804878
37,MIL,-3.207317073
38,MIL,-3.402439024
39,MIL,-3.56097561
40,MIL,-3.780487805
41,MIL,-4
42,MIL,-3.87804878
43,MIL,-3.865853659
44,MIL,-4.085365854
45,MIL,-4.182926829
46,MIL,-4.719512195
47,MIL,-4.243902439
48,MIL,-4.353658537
49,MIL,-4.182926829
0,NYK,-0.085365854
1,NYK,-0.085365854
2,NYK,-0.268292683
3,NYK,-0.536585366
4,NYK,-0.12195122
5,NYK,0.207317073
6,NYK,0.268292683
7,NYK,0.329268293
8,NYK,0.353658537
9,NYK,0.048780488
10,NYK,-0.134146341
11,NYK,0.012195122
12,NYK,-0.182926829
13,NYK,-0.243902439
14,NYK,-0.134146341
15,NYK,0.329268293
16,NYK,0.207317073
17,NYK,-0.37804878
18,NYK,-0.573170732
19,NYK,-0.512195122
20,NYK,-0.536585366
21,NYK,-0.426829268
22,NYK,-0.780487805
23,NYK,-0.87804878
24,NYK,-0.512195122
25,NYK,-0.170731707
26,NYK,0.06097561
27,NYK,-0.073170732
28,NYK,-0.256097561
29,NYK,-0.463414634
30,NYK,-0.5
31,NYK,-0.841463415
32,NYK,-1.085365854
33,NYK,-0.987804878
34,NYK,-0.914634146
35,NYK,-0.585365854
36,NYK,-0.707317073
37,NYK,-0.804878049
38,NYK,-0.658536585
39,NYK,-0.731707317
40,NYK,-0.195121951
41,NYK,-0.292682927
42,NYK,-0.951219512
43,NYK,-1.170731707
44,NYK,-1.43902439
45,NYK,-1.524390244
46,NYK,-1.609756098
47,NYK,-2.182926829
48,NYK,-2.487804878
49,NYK,-2.731707317
0,POR,-0.182926829
1,POR,-0.182926829
2,POR,-0.207317073
3,POR,0.12195122
4,POR,-0.158536585
5,POR,-0.451219512
6,POR,0.097560976
7,POR,0.804878049
8,POR,0.024390244
9,POR,-0.170731707
10,POR,-0.048780488
11,POR,-0.073170732
12,POR,0.219512195
13,POR,0.573170732
14,POR,0.317073171
15,POR,0.37804878
16,POR,0.463414634
17,POR,0.280487805
18,POR,0.402439024
19,POR,0.585365854
20,POR,0.43902439
21,POR,0.609756098
22,POR,1.219512195
23,POR,0.609756098
24,POR,0.597560976
25,POR,0.768292683
26,POR,0.609756098
27,POR,0.512195122
28,POR,0.646341463
29,POR,0.658536585
30,POR,0.926829268
31,POR,0.975609756
32,POR,1.012195122
33,POR,1.146341463
34,POR,1.280487805
35,POR,0.768292683
36,POR,1.243902439
37,POR,1.024390244
38,POR,1.097560976
39,POR,1.170731707
40,POR,1.658536585
41,POR,1.817073171
42,POR,1.402439024
43,POR,1.5
44,POR,1.097560976
45,POR,1.353658537
46,POR,1.207317073
47,POR,0.56097561
48,POR,0.93902439
49,POR,0.829268293
0,CHA,-0.341463415
1,CHA,-0.341463415
2,CHA,-0.036585366
3,CHA,-0.426829268
4,CHA,-0.817073171
5,CHA,-1
6,CHA,-0.475609756
7,CHA,-0.256097561
8,CHA,0.097560976
9,CHA,0.329268293
10,CHA,0.085365854
11,CHA,-0.109756098
12,CHA,-0.146341463
13,CHA,0.658536585
14,CHA,0.243902439
15,CHA,0.219512195
16,CHA,0
17,CHA,0.585365854
18,CHA,0.743902439
19,CHA,0.731707317
20,CHA,0.914634146
21,CHA,0.951219512
22,CHA,1
23,CHA,0.768292683
24,CHA,1.317073171
25,CHA,2
26,CHA,1.902439024
27,CHA,2.512195122
28,CHA,2.512195122
29,CHA,2.182926829
30,CHA,1.902439024
31,CHA,2.451219512
32,CHA,1.756097561
33,CHA,2.06097561
34,CHA,2.170731707
35,CHA,1.731707317
36,CHA,1.93902439
37,CHA,1.792682927
38,CHA,1.792682927
39,CHA,1.707317073
40,CHA,1.719512195
41,CHA,2.329268293
42,CHA,1.987804878
43,CHA,1.926829268
44,CHA,2.158536585
45,CHA,2.182926829
46,CHA,2.634146341
47,CHA,2.743902439
48,CHA,2.87804878
49,CHA,2.719512195
0,MIA,0.219512195
1,MIA,0.219512195
2,MIA,0.109756098
3,MIA,-0.170731707
4,MIA,-0.024390244
5,MIA,-0.036585366
6,MIA,0.292682927
7,MIA,0.670731707
8,MIA,0.890243902
9,MIA,0.646341463
10,MIA,0.853658537
11,MIA,0.841463415
12,MIA,1.097560976
13,MIA,1.109756098
14,MIA,1.292682927
15,MIA,1.12195122
16,MIA,1.341463415
17,MIA,1.451219512
18,MIA,1.646341463
19,MIA,2.207317073
20,MIA,2.402439024
21,MIA,2.329268293
22,MIA,1.926829268
23,MIA,1.780487805
24,MIA,1.524390244
25,MIA,1.073170732
26,MIA,0.93902439
27,MIA,0.719512195
28,MIA,0.731707317
29,MIA,0.43902439
30,MIA,0.37804878
31,MIA,0.134146341
32,MIA,0.597560976
33,MIA,0.792682927
34,MIA,1.085365854
35,MIA,0.682926829
36,MIA,1.134146341
37,MIA,0.792682927
38,MIA,0.87804878
39,MIA,1.085365854
40,MIA,1.207317073
41,MIA,1.231707317
42,MIA,1.341463415
43,MIA,0.890243902
44,MIA,1.170731707
45,MIA,1.597560976
46,MIA,1.402439024
47,MIA,1.207317073
48,MIA,1.646341463
49,MIA,1.646341463
0,UTA,-0.268292683
1,UTA,-0.268292683
2,UTA,-0.012195122
3,UTA,-0.12195122
4,UTA,0.048780488
5,UTA,-0.158536585
6,UTA,0.548780488
7,UTA,0.475609756
8,UTA,0.914634146
9,UTA,0.695121951
10,UTA,0.524390244
11,UTA,0.512195122
12,UTA,0.975609756
13,UTA,0.841463415
14,UTA,0.646341463
15,UTA,0.902439024
16,UTA,1.219512195
17,UTA,1.219512195
18,UTA,0.926829268
19,UTA,1.414634146
20,UTA,1.292682927
21,UTA,1.487804878
22,UTA,1.390243902
23,UTA,1.756097561
24,UTA,1.207317073
25,UTA,0.87804878
26,UTA,1.134146341
27,UTA,1.06097561
28,UTA,1.390243902
29,UTA,1.085365854
30,UTA,0.585365854
31,UTA,0.853658537
32,UTA,0.93902439
33,UTA,0.62195122
34,UTA,0.853658537
35,UTA,1.402439024
36,UTA,1.365853659
37,UTA,1.341463415
38,UTA,1.548780488
39,UTA,1.695121951
40,UTA,1.756097561
41,UTA,1.926829268
42,UTA,1.853658537
43,UTA,2.243902439
44,UTA,2.451219512
45,UTA,2.158536585
46,UTA,2.475609756
47,UTA,2.097560976
48,UTA,2.146341463
49,UTA,1.792682927
0,WAS,0.036585366
1,WAS,0.036585366
2,WAS,0.195121951
3,WAS,0.353658537
4,WAS,0.06097561
5,WAS,0.292682927
6,WAS,0.243902439
7,WAS,-0.195121951
8,WAS,-0.036585366
9,WAS,0.414634146
10,WAS,0.365853659
11,WAS,0.890243902
12,WAS,0.134146341
13,WAS,-0.256097561
14,WAS,-0.548780488
15,WAS,-0.231707317
16,WAS,-0.756097561
17,WAS,-0.914634146
18,WAS,-0.182926829
19,WAS,-0.280487805
20,WAS,-0.317073171
21,WAS,0.548780488
22,WAS,0.670731707
23,WAS,0.829268293
24,WAS,0.341463415
25,WAS,0.280487805
26,WAS,0.890243902
27,WAS,0.804878049
28,WAS,0.62195122
29,WAS,0.37804878
30,WAS,0.219512195
31,WAS,-0.146341463
32,WAS,-0.37804878
33,WAS,-0.609756098
34,WAS,0.280487805
35,WAS,0.268292683
36,WAS,0
37,WAS,0.207317073
38,WAS,0.390243902
39,WAS,0.707317073
40,WAS,0.134146341
41,WAS,-0.158536585
42,WAS,-0.036585366
43,WAS,0
44,WAS,0.158536585
45,WAS,0.231707317
46,WAS,0.256097561
47,WAS,0.182926829
48,WAS,-0.073170732
49,WAS,-0.5
0,ORL,0
1,ORL,0
2,ORL,0.268292683
3,ORL,0.195121951
4,ORL,0.219512195
5,ORL,0.243902439
6,ORL,0.109756098
7,ORL,0.292682927
8,ORL,0.317073171
9,ORL,0.451219512
10,ORL,0.670731707
11,ORL,0.426829268
12,ORL,0.353658537
13,ORL,0
14,ORL,0.036585366
15,ORL,-0.280487805
16,ORL,-0.109756098
17,ORL,0.146341463
18,ORL,-0.085365854
19,ORL,-0.219512195
20,ORL,-0.524390244
21,ORL,-0.548780488
22,ORL,-0.390243902
23,ORL,-0.256097561
24,ORL,-0.170731707
25,ORL,-0.207317073
26,ORL,-0.341463415
27,ORL,-0.207317073
28,ORL,-0.597560976
29,ORL,-0.707317073
30,ORL,-0.817073171
31,ORL,-0.585365854
32,ORL,-0.109756098
33,ORL,-0.048780488
34,ORL,-0.365853659
35,ORL,-0.670731707
36,ORL,-0.756097561
37,ORL,-0.670731707
38,ORL,-0.56097561
39,ORL,-0.268292683
40,ORL,-0.097560976
41,ORL,-0.597560976
42,ORL,-0.987804878
43,ORL,-0.743902439
44,ORL,-0.914634146
45,ORL,-1
46,ORL,-1.304878049
47,ORL,-1.036585366
48,ORL,-1.329268293
49,ORL,-1.62195122
0,HOU,-0.195121951
1,HOU,-0.195121951
2,HOU,0.512195122
3,HOU,0.390243902
4,HOU,0.817073171
5,HOU,1.231707317
6,HOU,0.914634146
7,HOU,0.853658537
8,HOU,0.62195122
9,HOU,0.634146341
10,HOU,0.451219512
11,HOU,0.487804878
12,HOU,-0.024390244
13,HOU,-0.548780488
14,HOU,-0.512195122
15,HOU,-0.634146341
16,HOU,-0.719512195
17,HOU,-0.658536585
18,HOU,-1.024390244
19,HOU,-0.609756098
20,HOU,-0.243902439
21,HOU,-0.926829268
22,HOU,-1.158536585
23,HOU,-1.390243902
24,HOU,-1.87804878
25,HOU,-1.963414634
26,HOU,-1.134146341
27,HOU,-0.890243902
28,HOU,-1.097560976
29,HOU,-1.146341463
30,HOU,-1.048780488
31,HOU,-0.963414634
32,HOU,-1.182926829
33,HOU,-0.975609756
34,HOU,-1.085365854
35,HOU,-0.524390244
36,HOU,-0.87804878
37,HOU,-0.341463415
38,HOU,-0.646341463
39,HOU,-0.963414634
40,HOU,-1.06097561
41,HOU,-1.158536585
42,HOU,-1.231707317
43,HOU,-1.256097561
44,HOU,-0.865853659
45,HOU,-0.768292683
46,HOU,-0.280487805
47,HOU,-0.390243902
48,HOU,0.097560976
49,HOU,0.195121951
0,DEN,0.012195122
1,DEN,0.012195122
2,DEN,-0.414634146
3,DEN,-0.085365854
4,DEN,-0.231707317
5,DEN,-0.463414634
6,DEN,-0.56097561
7,DEN,-0.402439024
8,DEN,-0.865853659
9,DEN,-0.426829268
10,DEN,-0.682926829
11,DEN,-0.951219512
12,DEN,-0.829268293
13,DEN,-0.829268293
14,DEN,-0.573170732
15,DEN,-0.597560976
16,DEN,-0.548780488
17,DEN,-1.012195122
18,DEN,-1.182926829
19,DEN,-1.280487805
20,DEN,-1.390243902
21,DEN,-1.573170732
22,DEN,-1.487804878
23,DEN,-1.414634146
24,DEN,-1.451219512
25,DEN,-1.780487805
26,DEN,-1.304878049
27,DEN,-1.743902439
28,DEN,-2.036585366
29,DEN,-2.536585366
30,DEN,-2.317073171
31,DEN,-2.487804878
32,DEN,-2.597560976
33,DEN,-2.902439024
34,DEN,-2.731707317
35,DEN,-2.353658537
36,DEN,-2.658536585
37,DEN,-3.012195122
38,DEN,-3.048780488
39,DEN,-3.317073171
40,DEN,-3.158536585
41,DEN,-3.036585366
42,DEN,-2.756097561
43,DEN,-3.426829268
44,DEN,-3.670731707
45,DEN,-3.329268293
46,DEN,-3.12195122
